User_id,Retention,MaxLevelPassed,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC
3462,0,9,A,0,0,11,9,10,8,0,0,0,0,0,0,0,0,0,0,0,0
3463,0,56,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3464,0,1,A,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3465,6,34,A,0,0,57,34,49,26,200,0,0,2000,0,100,0,0,0,0,5180,0
3466,0,18,A,0,0,27,22,21,17,0,0,0,2000,0,0,0,0,0,0,990,0
3467,7,42,A,0,0,97,42,86,34,500,480,0,0,220,100,0,900,0,0,1980,0
3468,0,28,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3469,0,12,A,0,0,12,12,10,10,0,0,0,0,0,0,0,0,0,0,0,0
3470,0,6,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3471,0,56,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3472,0,54,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3473,0,38,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3474,5,7,A,0,0,9,8,8,7,0,0,0,2000,0,0,0,0,0,0,0,0
3475,0,52,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3476,7,112,A,0,0,286,135,275,129,400,770,0,0,370,100,0,0,0,0,0,0
3477,0,12,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3478,6,21,A,0,0,88,45,79,37,0,0,0,2000,30,100,0,0,0,5000,0,0
3479,0,25,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3480,0,53,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
