Retention,MaxLevelPassed,User_id,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC,Paying
0,43,2307,B,0,0,31,8,25,5,0,0,0,0,30,0,0,0,0,0,0,0,False
1,45,2307,B,0,0,15,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,False
2,51,2307,B,0,0,8,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,False
3,56,2307,B,0,0,43,5,39,3,0,0,0,0,0,0,0,0,0,0,0,0,False
4,57,2307,B,0,0,8,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,False
5,59,2307,B,0,0,6,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,False
6,59,2307,B,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,False
7,59,2307,B,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,20,2308,B,0,0,4,1,3,1,0,0,0,0,0,100,0,0,0,0,0,0,False
1,22,2308,B,0,0,7,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,False
2,22,2308,B,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
4,22,2308,B,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,0,2309,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
0,70,2310,B,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,79,2310,B,0,0,108,9,108,9,0,0,0,0,0,0,0,0,0,0,0,0,False
