User_id,Retention,MaxLevelPassed,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC
3426,3,22,B,0,0,42,22,38,19,200,0,0,0,0,100,0,0,0,0,2590,0
3427,0,38,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3428,0,17,B,0,0,20,19,17,16,0,0,0,0,0,0,0,0,0,0,0,0
3429,0,28,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3430,2,24,B,0,0,29,26,20,18,0,0,0,0,0,100,0,0,0,0,990,0
3431,7,25,B,0,0,45,22,35,15,400,0,0,0,10,0,0,0,0,0,2970,0
3432,0,59,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3433,0,65,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3434,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3435,2,9,B,0,0,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0
3436,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3437,0,72,B,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3438,7,64,B,0,0,132,70,119,60,500,500,0,2000,30,100,0,0,0,0,4950,0
3439,0,28,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3440,0,55,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3441,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3442,0,65,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3443,1,14,B,0,0,16,14,12,10,0,0,0,0,0,0,0,0,0,0,990,0
3444,0,25,B,0,0,39,27,35,23,100,0,0,0,20,100,0,0,0,0,0,0
3445,0,68,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3446,2,39,B,0,0,57,39,48,31,100,500,0,2000,60,100,0,0,0,0,3960,0
3447,0,56,B,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3448,0,12,B,0,0,13,12,9,8,0,0,0,0,0,0,0,0,0,0,2590,0
3449,0,14,B,0,0,14,14,12,12,0,0,0,0,0,0,0,0,0,0,2590,0
3450,5,46,B,0,0,126,45,119,39,0,390,0,0,0,100,0,0,0,0,2970,0
3451,7,45,B,0,0,237,45,228,40,0,130,0,0,0,100,0,0,0,0,2970,0
