Retention;MaxLevelPassed;User_id;AB_Cohort;SumRevenue;CountBuy;CountAllStart;CountAllFinish;CountCleanStart;CountCleanFinish;Get_Ads;Get_Chapter;Get_Buy;Get_Faceb;Get_TeamL;Get_TeamT;Spend_BonLives;Spend_Bonus;Spend_Boost;Spend_Lives;Spend_Moves;Spend_TeamC
0;14;2257;A;0;0;8;7;6;5;0;0;0;0;0;0;0;0;0;0;990;0
0;0;2258;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;39;2259;A;0;0;15;2;15;2;0;0;0;0;0;0;0;0;0;0;0;0
1;45;2259;A;0;0;39;6;39;6;0;0;0;0;0;0;0;0;0;0;0;0
2;46;2259;A;0;0;21;1;21;1;0;0;0;0;0;0;0;0;0;0;0;0
3;46;2259;A;0;0;11;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
4;48;2259;A;0;0;19;2;16;1;0;0;0;0;0;0;0;0;0;0;0;0
5;59;2259;A;0;0;42;11;41;10;0;0;0;0;0;0;0;0;0;0;0;0
6;59;2259;A;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
7;59;2259;A;0;0;9;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
0;10;2260;A;0;0;11;10;10;9;0;0;0;0;0;0;0;0;0;0;0;0
1;14;2260;A;0;0;8;3;8;3;0;0;0;0;0;0;0;0;0;0;0;0
2;22;2260;A;0;0;16;8;11;4;0;0;0;0;0;100;0;0;0;0;1980;0
3;22;2260;A;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
4;22;2260;A;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
6;22;2260;A;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
0;39;2261;A;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
1;39;2261;A;0;0;33;19;32;19;0;0;0;0;0;0;0;0;0;0;0;0
3;39;2261;A;0;0;17;12;15;12;0;0;0;0;40;0;0;0;0;0;0;0
4;39;2261;A;0;0;5;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0
5;42;2261;A;0;0;14;11;12;9;0;0;0;0;20;0;0;0;0;0;0;0
7;43;2261;A;0;0;23;10;23;10;0;0;0;0;20;0;0;0;0;0;0;0
0;17;2262;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;18;2262;A;0;0;4;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2263;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;14;2263;A;0;0;14;14;10;10;0;0;0;0;0;0;0;0;0;0;990;0
3;28;2263;A;0;0;29;14;20;9;0;0;0;0;0;100;0;0;0;0;1980;0
0;1;2264;A;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
0;24;2265;A;0;0;48;25;43;21;0;0;0;0;0;100;0;0;0;1000;1980;0
1;26;2265;A;0;0;7;2;7;2;0;0;0;0;0;0;0;0;0;0;0;0
2;34;2265;A;0;0;22;8;22;8;0;0;0;0;0;0;0;0;0;0;0;0
3;34;2265;A;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
5;34;2265;A;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
6;39;2265;A;0;0;17;5;17;5;0;360;0;0;0;0;0;0;0;0;0;0
0;22;2266;A;0;0;11;6;9;4;0;0;0;0;0;100;0;0;0;0;0;0
1;29;2266;A;0;0;19;7;17;7;0;0;0;0;0;0;0;0;0;0;0;0
2;42;2266;A;0;0;41;13;31;6;0;140;0;0;0;0;0;0;0;0;2970;0
3;43;2266;A;0;0;6;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0
4;45;2266;A;0;0;12;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0
5;56;2266;A;0;0;61;19;55;18;0;0;0;0;0;0;0;0;0;0;0;0
6;63;2266;A;0;0;23;7;18;6;0;330;0;0;0;0;0;0;0;0;0;0
0;36;2267;A;0;0;7;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0
7;39;2267;A;0;0;9;3;8;2;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2268;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;39;2269;A;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1;44;2269;A;0;0;7;5;5;3;0;0;0;0;0;0;0;0;0;0;0;0
3;44;2269;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;46;2269;A;0;0;5;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0
7;49;2269;A;0;0;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0
0;48;2270;A;0;0;7;2;6;2;0;0;0;0;0;0;0;0;0;0;0;0
1;53;2270;A;0;0;18;5;17;5;0;0;0;0;0;0;0;0;0;0;0;0
2;55;2270;A;0;0;12;2;10;1;0;0;0;0;0;0;0;0;0;0;0;0
3;55;2270;A;0;0;7;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
4;55;2270;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;27;2271;A;0;0;13;5;12;5;0;0;0;0;0;0;0;0;0;0;990;0
0;57;2272;A;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0
1;58;2272;A;0;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
3;58;2272;A;0;0;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
5;58;2272;A;0;0;45;12;44;11;0;0;0;0;0;0;0;0;0;0;0;0
6;58;2272;A;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
7;59;2272;A;0;0;6;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0
0;77;2273;A;0;0;11;1;11;1;0;0;0;0;0;0;0;0;0;0;0;0
1;77;2273;A;0;0;8;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0
2;83;2273;A;0;0;55;6;52;5;0;0;0;0;0;0;0;0;0;0;0;0
3;84;2273;A;0;0;6;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0
4;84;2273;A;0;0;12;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
5;86;2273;A;0;0;33;6;31;5;0;0;0;0;0;0;0;0;0;0;0;0
7;86;2273;A;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0;71;2274;A;0;0;8;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0
1;71;2274;A;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
2;72;2274;A;0;0;8;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0
0;9;2275;A;0;0;11;9;9;7;0;0;0;0;0;0;0;2800;0;0;0;0
0;15;2276;A;0;0;17;15;13;11;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2277;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;2277;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;2;2278;A;0;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0
0;3;2279;A;0;0;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
0;7;2280;A;0;0;7;7;5;5;0;0;0;0;0;0;0;0;0;0;2590;0
0;30;2281;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;67;2282;A;0;0;21;8;18;8;0;0;0;0;0;0;0;0;0;0;0;0
1;76;2282;A;0;0;29;9;26;7;0;0;0;0;0;0;0;0;0;0;0;0
2;76;2282;A;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
3;86;2282;A;0;0;35;10;30;6;0;0;0;0;0;0;0;0;0;0;0;0
4;86;2282;A;0;0;7;0;5;0;0;0;0;0;20;0;0;0;0;0;0;0
0;34;2283;A;0;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
1;35;2283;A;0;0;4;1;2;1;0;330;0;0;0;0;0;0;0;0;0;0
2;39;2283;A;0;0;26;3;24;2;0;0;0;0;0;0;0;0;0;0;0;0
3;43;2283;A;0;0;27;4;17;2;0;0;0;0;0;0;0;0;0;0;0;0
4;43;2283;A;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
5;45;2283;A;0;0;9;2;7;1;0;0;0;0;0;0;0;0;0;0;0;0
6;45;2283;A;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;46;2283;A;0;0;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
0;13;2284;A;0;0;16;13;14;11;0;0;0;0;0;0;0;0;0;0;0;0
1;28;2284;A;0;0;29;15;23;9;0;0;0;0;0;100;0;0;0;0;2970;0
0;82;2285;A;0;0;28;12;26;11;0;0;0;0;0;0;0;0;0;0;0;0
1;83;2285;A;0;0;7;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0
2;83;2285;A;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
3;86;2285;A;0;0;6;3;5;2;0;0;0;0;0;0;0;0;0;0;0;0
4;86;2285;A;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6;86;2285;A;0;0;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
7;86;2285;A;0;0;4;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0;39;2286;A;0;0;31;5;30;5;0;250;0;0;0;0;0;0;0;0;0;0
1;39;2286;A;0;0;5;0;4;0;0;0;0;0;0;0;0;0;0;0;2590;0
2;39;2286;A;0;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0
4;39;2286;A;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
5;40;2286;A;0;0;7;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0
6;41;2286;A;0;0;8;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0
7;41;2286;A;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
0;84;2287;A;0;0;129;29;125;27;0;190;0;0;0;0;0;0;0;0;0;0
1;88;2287;A;0;0;25;4;25;4;0;0;0;0;0;0;0;0;0;0;0;0
2;91;2287;A;0;0;36;3;34;3;0;210;0;0;0;0;0;0;0;0;0;0
3;91;2287;A;0;0;7;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0
4;91;2287;A;0;0;10;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
5;103;2287;A;0;0;63;12;60;10;0;0;0;0;0;0;0;0;0;0;0;0
6;131;2287;A;0;0;138;28;133;26;0;230;0;0;0;0;0;0;0;0;0;0
7;131;2287;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2288;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;2289;A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
